

            List of variables on the working file

Name     Position  Label

V1              1  STUDIENNUMMER
V2              2  IDENTIFIKATIONSNUMMER DES BEFRAGTEN
V3              3  ERHEBUNGSGEBIET <WOHNGEBIET>: WEST - OST
V4              4  DEUTSCHE STAATSANGEHOERIGKEIT?
V5              5  ATTRAKTIVITAET DES BEFR., INTERVIEWSTART
V6              6  WIRTSCHAFTSLAGE IN DER BRD HEUTE
V7              7  WIRTSCHAFTSLAGE, BEFR. HEUTE
V8              8  WIRTSCHAFTSLAGE DER BRD IN 1 JAHR
V9              9  WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR
V10            10  REGIERUNGSVERANTWORTUNG WIRTSCHAFTSLAGE
V11            11  HAEUFIGKEIT VON FERNSEHEN PRO WOCHE
V12            12  FERNSEHGESAMTDAUER PRO TAG IN MINUTEN
V13            13  FERNSEHGESAMTDAUER PRO TAG, KAT.
V14            14  NACHRICHTENKONSUM: OEFFENTLICHES TV
V15            15  KONSUMHAEUFIGK.: NACHRICHTEN OEFF. TV
V16            16  NACHRICHTENKONSUM: PRIVATES TV
V17            17  KONSUMHAEUFIGK.: NACHRICHTEN PRIVATES TV
V18            18  HAEUFIGKEIT TAGESZEITUNG LESEN PRO WOCHE
V19            19  INTERNET FUER INFORMATION UEBER POLITIK?
V20            20  HAEUFIGKEIT: INTERNET FUER POLITIKINFO
V21            21  EINWANDERER ZU ANPASSUNG VERPFLICHTEN?
V22            22  POLITIK AUS WIRTSCHAFT HERAUSHALTEN?
V23            23  HAERTERE MASSNAHMEN FUER UMWELTSCHUTZ?
V24            24  ANERKENNUNG GLEICHGESCHLECHTLICHER EHEN?
V25            25  BERUFL.GLEICHBEHANDLUNG V. MANN UND FRAU
V26            26  HAERTERE STRAFEN FUER STRAFTAETER?
V27            27  REGIERUNG: SOZ.SICHERUNG AM WICHTIGSTEN?
V28            28  UMVERTEILUNG ZU GUNSTEN EINFACHER LEUTE?
V29            29  EINWANDERER GUT F. DEUTSCHE WIRTSCHAFT?
V30            30  DEUTSCHES MILITAER F. KRIEG GEGEN TERROR
V31            31  UNTER ALLEN UMSTAENDEN FREIHEIT ACHTEN?
V32            32  WELTMARKTOEFFNUNG DIENT WOHL ALLER?
V33            33  GGFS. BEKANNTEN POLIT. MEINUNG SAGEN
V34            34  GGFS. MICH AN WAHLEN BETEILIGEN
V35            35  GGFS. AN OEFF. DISKUSSIONEN BETEILIGEN
V36            36  GGFS. IN EINER BUERGERINITIATIVE MITARB.
V37            37  GGFS. IN EINER PARTEI MITARBEITEN
V38            38  GGFS. TEILNAHME AN UNGENEHMIGTER DEMO.
V39            39  GGFS. TEILNAHME AN GENEHMIGTER DEMO.
V40            40  GGFS. NICHT AN WAHLEN BETEILIGEN
V41            41  GGFS. ANDERE PARTEI WAEHLEN
V42            42  GGFS. TEILN. AN UNTERSCHRIFTENSAMMLUNG
V43            43  GGFS. KRITISCHER KONSUM
V44            44  GGFS. TEILNAHME AN ONLINE-PROTESTAKTION
V45            45  HABE SCHON POLITISCHE MEINUNG GESAGT
V46            46  HABE MICH AN WAHLEN BETEILIGT
V47            47  HABE AN OEFFENTL.DISKUSSIONEN TEILGENOM.
V48            48  HABE IN BUERGERINITIATIVE MITGEARBEITET
V49            49  HABE SCHON IN PARTEI MITGEARBEITET
V50            50  HABE AN UNGENEHMIGTER DEMO TEILGENOMMEN
V51            51  HABE AN GENEHMIGTER DEMO. TEILGENOMMEN
V52            52  HABE MICH NICHT AN WAHLEN BETEILIGT
V53            53  HABE ANDERE PARTEI GEWAEHLT
V54            54  HABE AN UNTERSCHRIFTENSAMMLUNG TEILGEN.
V55            55  HABE KRITISCH KONSUMIERT
V56            56  HABE AN ONLINE-PROTESTAKTION TEILGEN.
V57            57  2 JAHRE: POLITISCHE MEINUNG GESAGT
V58            58  2 JAHRE: AN WAHLEN BETEILIGT
V59            59  2 JAHRE: AN OEFFENTL.DISKUSSIONEN BET.
V60            60  2 JAHRE: IN BUERGERINITIATIVE MITGEARB
V61            61  2 JAHRE: SCHON IN PARTEI MITGEARBEITET
V62            62  2 JAHRE: AN UNGENEHMIGTER DEMO TEILG.
V63            63  2 JAHRE: AN GENEHMIGTER DEMO. TEILGEN.
V64            64  2 JAHRE: MICH NICHT AN WAHL BETEILIGT
V65            65  2 JAHRE: ANDERE PARTEI GEWAEHLT
V66            66  2 JAHRE: UNTERSCHRIFTENSAMMLUNG
V67            67  2 JAHRE: KRITISCH KONSUMIERT
V68            68  2 JAHRE: ONLINE-PROTESTAKTION
V69            69  PARTEIPRAEFERENZ VORHANDEN?
V70            70  PARTEIPRAEFERENZ, BEFR.
V71            71  VERTRAUEN: GESUNDHEITSWESEN
V72            72  VERTRAUEN: BUNDESVERFASSUNGSGERICHT
V73            73  VERTRAUEN: BUNDESTAG
V74            74  VERTRAUEN: STADT-,GEMEINDEVERWALTUNG
V75            75  VERTRAUEN: JUSTIZ
V76            76  VERTRAUEN: FERNSEHEN
V77            77  VERTRAUEN: ZEITUNGSWESEN
V78            78  VERTRAUEN: HOCHSCHULEN,UNIVERSITAETEN
V79            79  VERTRAUEN: BUNDESREGIERUNG
V80            80  VERTRAUEN: POLIZEI
V81            81  VERTRAUEN: POLITISCHE PARTEIEN
V82            82  VERTRAUEN: KOMMISSION DER EU
V83            83  VERTRAUEN: EUROPAEISCHES PARLAMENT
V84            84  IN DER BRD KANN MAN SEHR GUT LEBEN
V85            85  POLITIKER KUEMMERN S.NICHT UM M.GEDANKEN
V86            86  KANN IN EINER POLIT. GRUPPE AKTIV WERDEN
V87            87  POLITIK IST ZU KOMPLEX FUER MICH
V88            88  POLITIKER VERTRETEN INTERESSEN D. BEV.
V89            89  WEISS WENIG UEBER POLITIK
V90            90  MEISTEN FAEHIG ZU ARBEIT IN POL. GRUPPE
V91            91  DURCHSCHNITT: WENIG POLIT. VERSTAENDNIS
V92            92  WAHLBETEILIGUNG IST BUERGERPFLICHT
V93            93  BEWERTUNG VON DEMOKRATIE ALS IDEE
V94            94  ZUFRIEDEN MIT DEMOKRATIE IN DER BRD?
V95            95  ZUFRIEDEN MIT LEISTUNG D.BUNDESREGIERUNG
